NOMBRE EXPEDIENTE,NÚMERO CONTRATO,UAA,SERIE,SUBSERIE
0020_2026000322_4612,20-2026000322,4115_DIEF_CIENCIAS_HUMANAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0020_2026000297_4644,20-2026000297,4115_DIEF_CIENCIAS_HUMANAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0020_2026000287_8096,20-2026000287,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0018_2026002490_4624,18-2026002490,4117_DIEF_FISICO_MECANICAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0020_2026000344_8944,20-2026000344,4112_PROYECTO_8944,P11_PROYECTOS,P11.13_PROY_REGALIAS_SGR
0020_2026000340_4675,20-2026000340,4114_DIEF_CIENCIAS,P11_PROYECTOS,P11.14_APOYO_GRUPOS_INVEST
0020_2026000339_4669,20-2026000339,4114_DIEF_CIENCIAS,P11_PROYECTOS,P11.14_APOYO_GRUPOS_INVEST
270_2026000743_4619,,4116_DIEF_FISICO_QUIMICAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0020_2026000345_8097,20-2026000345,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0020_2026000309_8097,20-2026000309,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0018_2026002453_4609,18-2026002453,4116_DIEF_FISICO_QUIMICAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0018_2026002472_4619,18-2026002472,4116_DIEF_FISICO_QUIMICAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0020_2026000234_4691,20-2026000234,4116_DIEF_FISICO_QUIMICAS,P11_PROYECTOS,P11.14_APOYO_GRUPOS_INVEST
0020_2026000346_8096,20-2026000346,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002514_8212,234-2026002514,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026004581_8212,234-2026004581,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0020_2026000347_8288,20-2026000347,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026004585_8212,234-2026004585,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0018_2026002434_4259,18-2026002434,4118_DIEF_SALUD,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0234_2026002516_8212,234-2026002516,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002521_8212,234-2026002521,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026003487_8212,234-2026003487,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002502_8212,234-2026002502,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002501_8212,234-2026002501,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0020_2026000361_8096,20-2026000361,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002531_8212,234-2026002531,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002506_8212,234-2026002506,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002512_8212,234-2026002512,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0049_2025000023_8943,49-2025000023,4112_PROYECTO_8943,P11_PROYECTOS,P11.13_PROY_REGALIAS_SGR
0234_2026002503_8212,234-2026002503,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002504_8212,234-2026002504,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0018_2026002481_4624,18-2026002481,4117_DIEF_FISICO_MECANICAS,P11_PROYECTOS,P11.03_PROYECTOS_INVEST_FINAN_INTERNA
0234_2026004587_8212,234-2026004587,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002500_8212,234-2026002500,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2025014354_8054,234-2025014354,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2025016378_8054,234-2025016378,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000666_8212,234-2026000666,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000620_8212,234-2026000620,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000622_8212,234-2026000622,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000636_8212,234-2026000636,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000608_8212,234-2026000608,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000039_8212,234-2026000039,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000613_8212,234-2026000613,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000614_8212,234-2026000614,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000615_8212,234-2026000615,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000617_8212,234-2026000617,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002111_8212,234-2026002111,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000671_8212,234-2026000671,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026000791_8212,234-2026000791,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002249_8212,234-2026002249,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026002499_8212,234-2026002499,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0020_2026000349_8288,20-2026000349,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026004843_8212,234-2026004843,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026004640_8212,234-2026004640,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0234_2026004841_8212,234-2026004841,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0270_2026000747_8094,270-2026000747,4112_COORD_PROGRAMAS_PROYECTOS,P11_PROYECTOS,P11.02_PROY_INVEST_FINAN_EXT
0020_2026000360_8944,20-2026000360,4112_PROYECTO_8944,P11_PROYECTOS,P11.13_PROY_REGALIAS_SGR
0018_2026002501_4695,18-2026002501,4118_DIEF_SALUD,P11_PROYECTOS,P11.14_APOYO_GRUPOS_INVEST
ELIMINAR_CONVENIOS,,1110_RECTORIA,C10_CONVENIOS,C10.11_CONVENIOS_INTERADMINISTRATIVOS
0234_2026011646_7837,234-2026011646,2240_SEDE_BARRANCABERMEJA,C09_CONTRATOS,C09.10_ORDEN_PAGO
0020_2026000301_7970,20-2026000301,6540_ESC_ING_CIVIL,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0020_2026000356_9350,20-2026000356,4110_GIT,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0020_2026000351_9799,20-2026000351,4110_GIT,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0018_2026001169_7003,18-2026001169,6250_ESC_EDUCACION,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0270_2026000733_9701,270-2026000733,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
0020_2026000272_3112,20-2026000272,3112_DIV_CONTRATACION,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0374_2026000030_4516,374-2026000030,3112_DIV_CONTRATACION,C09_CONTRATOS,C09.29_ORDEN_PREST_SERVI_IMPOR
0374_2026000031_4516,374-2026000031,3112_DIV_CONTRATACION,C09_CONTRATOS,C09.29_ORDEN_PREST_SERVI_IMPOR
2025000159_9702,,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
2025000178_9701,,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
0018_2026002493_7025,18-2026002493,6150_ESC_QUIMICA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0020_2026000368_6290,20-2026000368,6290_DPTO_EDUCACION_FISICA_DEPORTES,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0018_2026002403_9285,18-2026002403,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0374_2026000032_7061,374-2026000032,3112_DIV_CONTRATACION,C09_CONTRATOS,C09.29_ORDEN_PREST_SERVI_IMPOR
0018_2026002455_7865,18-2026002455,6868_DPTO_SALUD_PUBLICA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002489_7916,18-2026002489,6530_ESC_ESTUDIOS_INDUST_EMPRESARIALES,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
2026011696_2250,,2250_SEDE_BARBOSA,C09_CONTRATOS,C09.10_ORDEN_PAGO
2026011698_2250,,2250_SEDE_BARBOSA,C09_CONTRATOS,C09.10_ORDEN_PAGO
0018_2026002496_7810,18-2026002496,6830_ESC_ENFERMERIA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0270_2026000265_3190,270-2026000265,3190_DTIC,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0020_2026000307_7970,20-2026000307,6540_ESC_ING_CIVIL,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0018_2026002335_7009,18-2026002335,6820_ESC_MICROBIOLOGIA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002467 _7916,18-2026002467,6530_ESC_ESTUDIOS_INDUST_EMPRESARIALES,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002407_9285,18-2026002407,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002485_9174,18-2026002485,6450_ESC_ING_QUIMICA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002408_7021,18-2026002408,6450_ESC_ING_QUIMICA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
20_2026000359,,6860_ESC_MEDICINA,C09_CONTRATOS,C09.08_ORDEN_COMPRA
0018_2026002458_9285,18-2026002458,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002468_9285,18-2026002468,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002484_9285,18-2026002484,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_20260810_6863,18-20260810,6863_DPTO_GINECOBSTETRICIA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002477_9285,18-2026002477,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002483_9285,18-2026002483,6280_ESC_TRABAJO_SOCIAL,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002448,18-2026002448,3180_DIV_GESTION_TALENTO_HUMANO,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
2026011846_2250,,2250_SEDE_BARBOSA,C09_CONTRATOS,C09.10_ORDEN_PAGO
2026011679_2250,,2250_SEDE_BARBOSA,C09_CONTRATOS,C09.10_ORDEN_PAGO
0270_2026000746_4516,270-2026000746,2140_BIBLIOTECA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
2025000481_9702,,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
2025000303_9701,,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
2026011845_2250,,2250_SEDE_BARBOSA,C09_CONTRATOS,C09.10_ORDEN_PAGO
0018_2026002398_9198,18-2026002398,4110_VICE_INVESTIGACION_EXTENSION,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
0018_2026002343_1130,18-2026002343,1130_PLANEACION,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
2025000479_9702,,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
2025000474_9701,,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD
0018_2026002421_3140,18-2026002421,3140_DIV_FINANCIERA,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS
