NOMBRE EXPEDIENTE,UAA,SERIE,SUB-SERIE,MOTIVO,EXPEDIENTE_ENCONTRADO
000000000000000000,1110_RECTORIA,C09_CONTRATOS,C09.08_ORDEN_COMPRA,,SI
0020_2026000214_7098,1110_RECTORIA,C09_CONTRATOS,C09.08_ORDEN_COMPRA,,SI
ELIMINAR_CONTRATOS,1110_RECTORIA,C09_CONTRATOS,C09.19_CONTRATOS_INTERADMINISTRATIVOS,,SI
ELIMINAR_CONVENIOS,1110_RECTORIA,C10_CONVENIOS,C10.11_CONVENIOS_INTERADMINISTRATIVOS,,SI
0019_2026000108_7047,1110_SEDE_GUATIGUARA,C09_CONTRATOS,C09.12_ORDEN_TRABAJO,,SI
0019_2026000112_7047,1110_SEDE_GUATIGUARA,C09_CONTRATOS,C09.12_ORDEN_TRABAJO,,SI
0298_2026000263_7047,1110_SEDE_GUATIGUARA,C09_CONTRATOS,C09.33_ORDEN_SUMINISTROS,,SI
0020_2026000252_9708,1112_UISALUD,C09_CONTRATOS,C09.08_ORDEN_COMPRA,,SI
2025000009_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025000430_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025001471_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025001473_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025002269_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025003242_9702,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025003297_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
2025004240_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,,SI
0270_2026000719_9701,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD,,SI
0270_2026000733_9701,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD,,SI
