NOMBRE EXPEDIENTE,UAA,SERIE,SUB-SERIE,NIVEL,VALOR,ENCONTRADO
000000000000000000,1110_RECTORIA,C09_CONTRATOS,C09.08_ORDEN_COMPRA,BUSQUEDA,000000000000000000,True
0020_2026000214_7098,1110_RECTORIA,C09_CONTRATOS,C09.08_ORDEN_COMPRA,BUSQUEDA,0020_2026000214_7098,True
ELIMINAR_CONTRATOS,1110_RECTORIA,C09_CONTRATOS,C09.19_CONTRATOS_INTERADMINISTRATIVOS,BUSQUEDA,ELIMINAR_CONTRATOS,True
ELIMINAR_CONVENIOS,1110_RECTORIA,C10_CONVENIOS,C10.11_CONVENIOS_INTERADMINISTRATIVOS,BUSQUEDA,ELIMINAR_CONVENIOS,True
0019_2026000108_7047,1110_SEDE_GUATIGUARA,C09_CONTRATOS,C09.12_ORDEN_TRABAJO,BUSQUEDA,0019_2026000108_7047,True
0019_2026000112_7047,1110_SEDE_GUATIGUARA,C09_CONTRATOS,C09.12_ORDEN_TRABAJO,BUSQUEDA,0019_2026000112_7047,True
0298_2026000263_7047,1110_SEDE_GUATIGUARA,C09_CONTRATOS,C09.33_ORDEN_SUMINISTROS,BUSQUEDA,0298_2026000263_7047,True
0020_2026000252_9708,1112_UISALUD,C09_CONTRATOS,C09.08_ORDEN_COMPRA,BUSQUEDA,0020_2026000252_9708,True
2025000009_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025000009_9701,True
2025000430_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025000430_9701,True
2025001471_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025001471_9701,True
2025001473_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025001473_9701,True
2025002269_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025002269_9701,True
2025003242_9702,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025003242_9702,True
2025003297_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025003297_9701,True
2025004240_9701,1112_UISALUD,C09_CONTRATOS,C09.11_ORDEN_PRESTACION_SERVICIOS,BUSQUEDA,2025004240_9701,True
0270_2026000719_9701,1112_UISALUD,C09_CONTRATOS,C09.23_CONTR_PREST_SERVI_RED_SALUD,BUSQUEDA,0270_2026000719_9701,True
